scenario,scenario_key,name,budget,source_set,rate,seed,n_expected_steps,step_recall,chain_recall,reconstructability,n_events_pre_sampling,n_events
SC3,sc3,Parallel,single,suricata,1.0,2,4,0.25,0.25,0.25,65385,65385
SC3,sc3,Parallel,single,syslog,1.0,2,4,0.25,0.25,0.25,14677,14677
SC3,sc3,Parallel,single,zeek,1.0,2,4,0.25,0.25,0.25,5596,5596
SC3,sc3,Parallel,single,auditd,1.0,3,4,0.0,0.0,0.0,206,206
SC3,sc3,Parallel,single,auth,1.0,3,4,0.25,0.25,0.25,2810,2810
SC3,sc3,Parallel,single,suricata,1.0,3,4,0.25,0.25,0.25,65385,65385
SC3,sc3,Parallel,single,syslog,1.0,3,4,0.25,0.25,0.25,14677,14677
SC3,sc3,Parallel,single,zeek,1.0,3,4,0.25,0.25,0.25,5596,5596
SC3,sc3,Parallel,single,auditd,1.0,4,4,0.0,0.0,0.0,206,206
SC3,sc3,Parallel,single,auth,1.0,4,4,0.25,0.25,0.25,2810,2810
SC3,sc3,Parallel,single,suricata,1.0,4,4,0.25,0.25,0.25,65385,65385
SC3,sc3,Parallel,single,syslog,1.0,4,4,0.25,0.25,0.25,14677,14677
SC3,sc3,Parallel,single,zeek,1.0,4,4,0.25,0.25,0.25,5596,5596
SC3,sc3,Parallel,single,auditd,0.75,0,4,0.0,0.0,0.0,206,157
SC3,sc3,Parallel,single,auth,0.75,0,4,0.25,0.25,0.25,2810,2122
SC3,sc3,Parallel,single,suricata,0.75,0,4,0.25,0.25,0.25,65385,48969
SC3,sc3,Parallel,single,syslog,0.75,0,4,0.25,0.25,0.25,14677,11049
SC3,sc3,Parallel,single,zeek,0.75,0,4,0.25,0.25,0.25,5596,4208
SC3,sc3,Parallel,single,auditd,0.75,1,4,0.0,0.0,0.0,206,154
SC3,sc3,Parallel,single,auth,0.75,1,4,0.25,0.25,0.25,2810,2099
SC3,sc3,Parallel,single,suricata,0.75,1,4,0.25,0.25,0.25,65385,48870
SC3,sc3,Parallel,single,syslog,0.75,1,4,0.25,0.25,0.25,14677,10953
SC3,sc3,Parallel,single,zeek,0.75,1,4,0.25,0.25,0.25,5596,4207
SC3,sc3,Parallel,single,auditd,0.75,2,4,0.0,0.0,0.0,206,162
